# num,v0,st,lt,dev_st,dev_lt,dev,largest_dev,dist,mod
319,3.489120,0.020213,0.029313,0.057141,0.013095,0.057141,st,0.000124,6
354,3.494140,0.018923,0.029316,0.010336,0.015211,0.015211,lt,0.000127,6
99,3.489530,0.017897,0.029323,0.063995,0.010527,0.063995,st,0.000134,8
177,3.491420,0.017993,0.029323,0.059003,0.000034,0.059003,st,0.000134,8
191,3.491840,0.017850,0.029324,0.066458,0.002359,0.066458,st,0.000135,8
546,3.492890,0.019118,0.029327,0.000129,0.008423,0.008423,lt,0.000138,8
236,3.490590,0.018582,0.029330,0.028164,0.004429,0.028164,st,0.000141,8
443,3.492460,0.019144,0.029332,0.001234,0.006139,0.006139,lt,0.000143,8
355,3.493100,0.019381,0.029334,0.013589,0.009833,0.013589,st,0.000144,8
543,3.493300,0.019160,0.029334,0.002063,0.011003,0.011003,lt,0.000145,8
109,3.492050,0.017904,0.029335,0.063628,0.003919,0.063628,st,0.000146,8
434,3.492680,0.019132,0.029336,0.000595,0.007525,0.007525,lt,0.000147,8
188,3.492890,0.018247,0.029345,0.045706,0.009014,0.045706,st,0.000156,10
499,3.492260,0.019090,0.029345,0.001587,0.005434,0.005434,lt,0.000156,10
337,3.490160,0.019217,0.029357,0.005011,0.005905,0.005905,lt,0.000168,10
368,3.490590,0.019213,0.029357,0.004805,0.003505,0.004805,st,0.000168,10
316,3.491000,0.020148,0.029360,0.053734,0.001136,0.053734,st,0.000171,10
429,3.493520,0.019241,0.029362,0.006271,0.013235,0.013235,lt,0.000173,10
150,3.493300,0.017893,0.029367,0.064232,0.012148,0.064232,st,0.000178,10
61,3.493100,0.018173,0.029369,0.049591,0.011068,0.049591,st,0.000180,10
239,3.491420,0.020149,0.029370,0.053779,0.001556,0.053779,st,0.000181,10
462,3.494570,0.019432,0.029375,0.016299,0.019752,0.019752,lt,0.000186,10
396,3.493930,0.019303,0.029381,0.009553,0.016239,0.016239,lt,0.000192,12
189,3.491640,0.017707,0.029381,0.073963,0.003176,0.073963,st,0.000192,12
374,3.489330,0.018870,0.029388,0.013090,0.009432,0.013090,st,0.000199,12
262,3.492050,0.018960,0.029399,0.008434,0.006121,0.008434,st,0.000210,12
143,3.493520,0.017833,0.029409,0.067373,0.014831,0.067373,st,0.000220,12
439,3.493300,0.019367,0.029409,0.012865,0.013578,0.013578,lt,0.000220,12
485,3.492050,0.020348,0.029414,0.064201,0.006620,0.064201,st,0.000225,12
226,3.489330,0.017906,0.029422,0.063550,0.008281,0.063550,st,0.000233,12
155,3.490800,0.017676,0.029431,0.075567,0.000163,0.075567,st,0.000242,12
390,3.493730,0.019290,0.029436,0.008860,0.016981,0.016981,lt,0.000247,12
247,3.490800,0.018687,0.029437,0.022676,0.000355,0.022676,st,0.000248,14
481,3.492890,0.019729,0.029437,0.031788,0.012183,0.031788,st,0.000248,14
230,3.491420,0.017924,0.029439,0.062578,0.003907,0.062578,st,0.000250,14
322,3.489750,0.019044,0.029442,0.004001,0.005298,0.005298,lt,0.000253,14
329,3.489330,0.018986,0.029455,0.007068,0.007184,0.007184,lt,0.000266,14
418,3.492680,0.019380,0.029458,0.013548,0.011715,0.013548,st,0.000269,14
347,3.490160,0.018902,0.029460,0.011447,0.002433,0.011447,st,0.000271,14
552,3.493520,0.019996,0.029462,0.045799,0.016684,0.045799,st,0.000273,14
409,3.493930,0.019100,0.029467,0.001093,0.019205,0.019205,lt,0.000278,14
318,3.489120,0.019025,0.029473,0.005018,0.007739,0.007739,lt,0.000284,14
162,3.493100,0.017811,0.029482,0.068499,0.014931,0.068499,st,0.000293,16
539,3.492050,0.019094,0.029483,0.001424,0.008985,0.008985,lt,0.000294,16
58,3.492260,0.018150,0.029496,0.050752,0.010605,0.050752,st,0.000307,16
573,3.490800,0.019134,0.029497,0.000704,0.002406,0.002406,lt,0.000308,16
493,3.493730,0.019439,0.029499,0.016661,0.019165,0.019165,lt,0.000310,16
426,3.493930,0.019720,0.029502,0.031354,0.020421,0.031354,st,0.000313,16
428,3.493730,0.020131,0.029504,0.052813,0.019340,0.052813,st,0.000315,16
166,3.489530,0.018078,0.029504,0.054518,0.004417,0.054518,st,0.000315,16
88,3.489750,0.017952,0.029509,0.061116,0.003021,0.061116,st,0.000320,16
416,3.493300,0.020212,0.029512,0.057080,0.017134,0.057080,st,0.000323,16
538,3.493300,0.019958,0.029516,0.043787,0.017258,0.043787,st,0.000327,18
90,3.489330,0.017737,0.029518,0.072384,0.005050,0.072384,st,0.000329,18
197,3.493300,0.017753,0.029526,0.071557,0.017620,0.071557,st,0.000337,18
1,3.489750,0.018419,0.029529,0.036685,0.002345,0.036685,st,0.000340,18
519,3.492050,0.018973,0.029537,0.007745,0.010815,0.010815,lt,0.000348,18
67,3.488910,0.017693,0.029540,0.074686,0.006641,0.074686,st,0.000350,18
377,3.489120,0.018936,0.029542,0.009686,0.005408,0.009686,st,0.000353,18
399,3.493520,0.019077,0.029545,0.002264,0.019539,0.019539,lt,0.000356,18
353,3.493100,0.019070,0.029546,0.002651,0.017142,0.017142,lt,0.000357,18
180,3.489960,0.017908,0.029550,0.063423,0.000479,0.063423,st,0.000361,18
102,3.492050,0.017922,0.029557,0.062703,0.011526,0.062703,st,0.000368,20
158,3.492890,0.018010,0.029559,0.058086,0.016393,0.058086,st,0.000370,20
571,3.491840,0.019277,0.029571,0.008160,0.010784,0.010784,lt,0.000382,20
229,3.490800,0.017797,0.029573,0.069245,0.004991,0.069245,st,0.000384,20
598,3.493300,0.019348,0.029575,0.011889,0.019310,0.019310,lt,0.000386,20
186,3.491210,0.017957,0.029575,0.060886,0.007383,0.060886,st,0.000386,20
454,3.494140,0.019608,0.029577,0.025470,0.024239,0.025470,st,0.000388,20
256,3.489960,0.019355,0.029581,0.012258,0.000571,0.012258,st,0.000392,20
51,3.493300,0.018303,0.029585,0.042772,0.019638,0.042772,st,0.000396,20
169,3.491420,0.017974,0.029588,0.060000,0.009004,0.060000,st,0.000399,20
168,3.491840,0.017943,0.029594,0.061579,0.011593,0.061579,st,0.000405,22
59,3.491840,0.017906,0.029596,0.063544,0.011655,0.063544,st,0.000407,22
160,3.493300,0.018246,0.029597,0.045764,0.020061,0.045764,st,0.000408,22
392,3.493100,0.019291,0.029598,0.008908,0.018938,0.018938,lt,0.000409,22
53,3.493300,0.018027,0.029598,0.057229,0.020104,0.057229,st,0.000409,22
488,3.492050,0.019230,0.029600,0.005698,0.012977,0.012977,lt,0.000411,22
5,3.490160,0.018606,0.029601,0.026920,0.002372,0.026920,st,0.000412,22
385,3.494770,0.019372,0.029607,0.013144,0.028988,0.028988,lt,0.000418,22
405,3.494140,0.020250,0.029609,0.059055,0.025347,0.059055,st,0.000420,22
206,3.492460,0.018042,0.029623,0.056445,0.016120,0.056445,st,0.000434,22
436,3.492890,0.020336,0.029624,0.063552,0.018619,0.063552,st,0.000435,24
72,3.488910,0.017680,0.029627,0.075371,0.003698,0.075371,st,0.000438,24
151,3.492050,0.018434,0.029629,0.035913,0.013977,0.035913,st,0.000440,24
343,3.489530,0.019531,0.029634,0.021475,0.000029,0.021475,st,0.000445,24
453,3.493730,0.019624,0.029636,0.026297,0.023904,0.026297,st,0.000447,24
527,3.492680,0.019421,0.029641,0.015694,0.017992,0.017992,lt,0.000452,24
476,3.492890,0.019746,0.029643,0.032706,0.019291,0.032706,st,0.000454,24
185,3.491640,0.018580,0.029644,0.028304,0.012167,0.028304,st,0.000455,24
419,3.493520,0.019491,0.029646,0.019385,0.023023,0.023023,lt,0.000457,24
154,3.493300,0.018050,0.029648,0.055981,0.021829,0.055981,st,0.000459,24
98,3.488690,0.017995,0.029659,0.058878,0.003839,0.058878,st,0.000470,26
502,3.492050,0.019016,0.029672,0.005501,0.015445,0.015445,lt,0.000483,26
387,3.494570,0.019363,0.029674,0.012650,0.030122,0.030122,lt,0.000485,26
473,3.491420,0.019235,0.029676,0.005953,0.012000,0.012000,lt,0.000487,26
218,3.490590,0.017884,0.029676,0.064666,0.007324,0.064666,st,0.000487,26
468,3.494140,0.019316,0.029682,0.010198,0.027893,0.027893,lt,0.000493,26
73,3.488690,0.017852,0.029684,0.066365,0.002998,0.066365,st,0.000495,26
500,3.491840,0.019295,0.029688,0.009100,0.014784,0.014784,lt,0.000499,26
68,3.487660,0.017858,0.029693,0.066028,0.008320,0.066028,st,0.000504,26
